site_id,action,eval_fiscal_year,fy_start,fy_end,count
356754,inspection,2019 / 2020,2019,2020,2
356754,violation,2013 / 2014,2013,2014,1
356754,violation,2016 / 2017,2016,2017,2
356754,violation,2019 / 2020,2019,2020,2
356767,inspection,2015 / 2016,2015,2016,1
356767,inspection,2017 / 2018,2017,2018,1
356835,enf_action,2015 / 2016,2015,2016,1
356835,inspection,2015 / 2016,2015,2016,1
356835,inspection,2018 / 2019,2018,2019,1
356835,violation,2015 / 2016,2015,2016,6
356843,inspection,2016 / 2017,2016,2017,6
356843,inspection,2019 / 2020,2019,2020,2
356843,violation,2016 / 2017,2016,2017,3
356851,enf_action,2015 / 2016,2015,2016,2
356851,enf_action,2016 / 2017,2016,2017,1
356851,inspection,2015 / 2016,2015,2016,2
356851,inspection,2016 / 2017,2016,2017,1
356851,violation,2015 / 2016,2015,2016,8
356851,violation,2016 / 2017,2016,2017,1
356854,inspection,2015 / 2016,2015,2016,1
356854,inspection,2019 / 2020,2019,2020,1
356930,inspection,2016 / 2017,2016,2017,1
356930,inspection,2018 / 2019,2018,2019,1
356996,inspection,2018 / 2019,2018,2019,1
357019,inspection,2015 / 2016,2015,2016,3
357019,inspection,2016 / 2017,2016,2017,4
357019,inspection,2019 / 2020,2019,2020,1
357019,violation,2015 / 2016,2015,2016,8
357019,violation,2019 / 2020,2019,2020,1
357052,inspection,2016 / 2017,2016,2017,2
357119,inspection,2015 / 2016,2015,2016,2
357119,inspection,2018 / 2019,2018,2019,1
357119,violation,2015 / 2016,2015,2016,1
357131,enf_action,2017 / 2018,2017,2018,1
357131,inspection,2017 / 2018,2017,2018,1
357131,inspection,2018 / 2019,2018,2019,1
357131,violation,2017 / 2018,2017,2018,10
357169,inspection,2015 / 2016,2015,2016,1
357173,inspection,2017 / 2018,2017,2018,1
357173,inspection,2018 / 2019,2018,2019,7
357173,inspection,2019 / 2020,2019,2020,4
357173,violation,2017 / 2018,2017,2018,3
357173,violation,2018 / 2019,2018,2019,8
357185,inspection,2015 / 2016,2015,2016,2
357185,inspection,2019 / 2020,2019,2020,2
357210,enf_action,2015 / 2016,2015,2016,2
357210,enf_action,2016 / 2017,2016,2017,5
357210,enf_action,2017 / 2018,2017,2018,1
357210,inspection,2014 / 2015,2014,2015,1
357210,inspection,2015 / 2016,2015,2016,2
357210,inspection,2016 / 2017,2016,2017,5
357210,inspection,2017 / 2018,2017,2018,2
357210,inspection,2018 / 2019,2018,2019,4
357210,inspection,2019 / 2020,2019,2020,1
357210,violation,2015 / 2016,2015,2016,3
357210,violation,2016 / 2017,2016,2017,31
357210,violation,2017 / 2018,2017,2018,11
357210,violation,2018 / 2019,2018,2019,20
357210,violation,2019 / 2020,2019,2020,8
357270,inspection,2018 / 2019,2018,2019,1
357270,violation,2018 / 2019,2018,2019,2
357285,inspection,2015 / 2016,2015,2016,2
357285,inspection,2018 / 2019,2018,2019,2
357285,violation,2018 / 2019,2018,2019,1
357358,enf_action,2015 / 2016,2015,2016,1
357358,inspection,2015 / 2016,2015,2016,1
357358,inspection,2018 / 2019,2018,2019,1
357358,violation,2015 / 2016,2015,2016,1
357359,inspection,2015 / 2016,2015,2016,7
357359,inspection,2016 / 2017,2016,2017,1
357359,inspection,2017 / 2018,2017,2018,5
357359,inspection,2018 / 2019,2018,2019,4
357359,inspection,2019 / 2020,2019,2020,4
357359,violation,2017 / 2018,2017,2018,1
357360,inspection,2017 / 2018,2017,2018,1
357432,inspection,2015 / 2016,2015,2016,4
357432,inspection,2017 / 2018,2017,2018,4
357432,violation,2015 / 2016,2015,2016,5
